feature,shap_importance
return_1,0.1328027157843741
minute_of_day,0.08910211080882358
consecutive_bullish,0.05356626438832186
hour_of_day,0.030917089294665013
max_bull_body_ratio_10,0.025401144067283173
max_bear_body_ratio_10,0.02290102323504183
structure_bias_48,0.02115338538119399
bars_since_swing_low,0.014819579267155826
dist_to_rolling_low_192,0.012001104377506617
bull_fvg,0.010306673062855504
lower_wick,0.006981142642780091
session_london,0.006593026388940105
bars_since_swing_high,0.00642434366757297
htf_4h_range,0.004598763180995568
momentum_long,0.003363736143983674
recent_bullish_streak,0.0032540731932839584
htf_1h_volatility,0.00311383880509501
htf_1h_body,0.0028429762079453876
session_newyork,0.002202594920299902
dist_to_prev_day_low,0.001915291116108309
active_bear_fvg_count,0.001619123316663802
pullback_depth_10,0.0013840878269592654
htf_1h_range,0.000967382300486044
body_to_range,0.000919316781791753
dist_to_rolling_high_192,0.000705310931015268
htf_4h_volatility,0.0006787257079817114
return_48,0.00044748425278961926
day_of_week,0.00039959191418029513
candle_range,0.0003956084365795988
min_bear_wick_ratio_10,0.00036020307167861017
upper_wick,0.00029406799925111617
buying_pressure_8,0.0002351568138724824
nearest_bull_fvg_dist,0.0002224929697150531
nearest_bear_fvg_dist,0.00020219318815608648
return_16,0.00017697677384066567
min_bull_wick_ratio_10,0.00017671133920965756
dist_to_swing_low,0.00016741475571090085
body_size,0.00015020719843191719
return_4,0.00012477428623981703
dist_to_daily_low,9.781437124033364e-05
dist_to_rolling_low_48,8.802924205876158e-05
recent_sweep_count_24,6.275544622342546e-05
position_in_daily_range,5.759823404700158e-05
dist_to_nearest_liquidity_above,3.77552124235507e-05
volatility_20,3.5034658642271796e-05
dist_to_prev_day_high,2.617560295648191e-05
atr_50,1.208705489544887e-05
structure_bias_16,7.906266202738496e-06
pullback_depth_from_low_10,6.8907651461415025e-06
dist_to_rolling_high_48,2.956703749797581e-06
is_bullish,0.0
buy_liquidity_dist,0.0
body_momentum_8,0.0
sell_liquidity_dist,0.0
recent_sell_sweep_count_24,0.0
range_expansion,0.0
active_bull_fvg_count,0.0
session_asian,0.0
dist_to_daily_high,0.0
htf_4h_body,0.0
atr_14,0.0
dist_to_swing_high,0.0
displacement_ratio,0.0
volatility_50,0.0
momentum_medium,0.0
dist_to_nearest_liquidity_below,0.0
buying_pressure_16,0.0
momentum_short,0.0
dist_to_rolling_low_96,0.0
liquidity_swept_buy,0.0
selling_pressure_8,0.0
dist_to_rolling_high_96,0.0
buying_pressure_32,0.0
htf_1h_return,0.0
htf_alignment,0.0
selling_pressure_16,0.0
liquidity_swept_sell,0.0
